id,url1,name,recommend,reader,author,translator,label,date,year,price,pages,printing,state
538,http://www.ituring.com.cn/book/1036,征服C指针,25,31400,前橋和弥(作者),吴雅明(译者) ,C语言 c指针 ,2013/2/26,2013,49,264,黑白,上市销售
459,http://www.ituring.com.cn/book/1053,iOS6编程实战（国内首本iOS6深度揭秘iOS6高级特性与开发技巧）,17,31300,RobNapier MugunthKumar(作者),陈晓亮 武海峰 邓强 周庆成(译者) ,移动开发 iphone开发 ipad开发 ios 苹果开发 ios6 ,2013/4/1,2013,99,452,黑白,暂时缺货
756,http://www.ituring.com.cn/book/1018,图解TCP/IP（第5版）,28,31200,竹下隆史 村山公保 荒井透 苅田幸雄(作者), 乌尼日其其格(译者) ,tcp/ip 计算机网络 ,2013/6/19,2013,69,328,,上市销售
549,http://www.ituring.com.cn/book/1124,Bootstrap用户手册：设计响应式网站（GitHub有史以来最受欢迎的开源项目 中文版使用指南面面俱到 一册在手 别无所求！）,23,31100,JakeSpurlock(作者),李松峰(译者) ,web开发 设计 o&#39;reilly bootstrap ,2013/9/9,2013,35,140,黑白,暂时缺货
638,http://www.ituring.com.cn/book/1898,深入React技术栈,17,30800,陈屹(作者),,前端 React ,2016/11/14,2016,79,364,黑白,上市销售
693,http://www.ituring.com.cn/book/874,设计师要懂心理学,17,30600,SusanWeinschenk(作者),徐佳  马迪  余盈亿(译者) ,心理学 设计 设计心理学 认知 ,2013/5/6,2013,49,236,彩色,上市销售
920,http://www.ituring.com.cn/book/1846,ReactNative开发指南,9,30500,[美]BonnieEisenman(作者), 黄为伟(译者) ,javascript 移动开发 软件开发 前端 react-native ,2016/7/1,2016,59,221,单色,上市销售
707,http://www.ituring.com.cn/book/1880,SQL基础教程（第2版）,13,30300,MICK(作者), 孙淼 罗勇(译者) ,数据库 sql ,2017/5/25,2017,79,336,双色,上市销售
735,http://www.ituring.com.cn/book/1119,机器学习,28,30200,PeterFlach(作者),段菲(译者) ,人工智能 机器学习 数据挖掘 ,2015/12/14,2015,79,312,黑白,上市销售
563,http://www.ituring.com.cn/book/167,深入Linux内核架构,19,30100,WolfgangMauerer(作者),郭旭(译者) ,linux unix 内核 ,2010/6/13,2010,149,1056,,上市销售
190,http://www.ituring.com.cn/book/1172,MongoDB权威指南（第2版）,21,29700,KristinaChodorow(作者),邓强  王明辉(译者) ,nosql 云计算 mongodb ,2013/12/31,2013,79,412,黑白,上市销售
387,http://www.ituring.com.cn/book/1185,通信的数学理论,65,29600,ClaudeShannon(作者),贾洪峰(译者) ,通信 数学 信息论 香农 独立电子书 ,2013/4/19,2013,,59,,上市销售
916,http://www.ituring.com.cn/book/1883,线性代数应该这样学（第3版）,22,29600,SheldonAxler(作者), 杜现昆  刘大艳  马晶(译者) ,线性代数 数学 ,2016/10/9,2016,49,268,黑白,上市销售
327,http://www.ituring.com.cn/book/1371,图解机器学习,18,29500,杉山将(作者), 许永伟(译者) ,机器学习 图解 ,2015/4/13,2015,49,240,黑白,上市销售
909,http://www.ituring.com.cn/book/1884,SpringBoot实战,12,29500,CraigWalls(作者),丁雪丰(译者) ,Java spring ,2016/9/5,2016,59,224,黑白,上市销售
246,http://www.ituring.com.cn/book/1226,Python数据分析基础教程：NumPy学习指南（第2版）,11,29400,IvanIdris(作者), 张驭宇(译者) ,python NumPy ,2013/12/30,2013,49,244,黑白,上市销售
930,http://www.ituring.com.cn/book/1584,图解性能优化,28,29400,小田圭二 榑松谷仁 平山毅 冈田宪昌(作者), 苏祎(译者) ,性能 图解 性能调优 性能分析 性能测试 ,2017/2/13,2017,59,312,双色,上市销售
961,http://www.ituring.com.cn/book/1814,程序员的算法趣题,18,29400,增井敏克(作者),绝云(译者) ,算法 ruby 谜题 挑战 ,2017/7/25,2017,55,312,双色,上市销售
752,http://www.ituring.com.cn/book/1573,微服务设计,12,29300,SamNewman(作者),崔力强 张骏(译者) ,软件架构 系统设计 系统管理 微服务 ,2016/4/25,2016,69,228,黑白,上市销售
759,http://www.ituring.com.cn/book/1819,Python数据处理,9,29300,【美】JacquelineKazil KatharineJarmu(作者),张亮  吕家明(译者) ,python 数据分析 数据处理 网络爬虫 数据采集 ,2017/7/3,2017,99,396,黑白,上市销售
